Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(ohm)
-0.000680779,-9.0717e-05,0.0999999,0.0186503,9.91e+37
-0.000674087,-9.8906e-05,0.1749987,0.0377451,9.91e+37
-0.00066756,-0.000107548,0.25,0.0566636,9.91e+37
-0.000658255,-0.000118769,0.325002,0.0753859,9.91e+37
-0.000649169,-0.000129383,0.4,0.0940931,9.91e+37
-0.000636845,-0.000143278,0.474998,0.114678,9.91e+37
-0.000622544,-0.000158218,0.55,0.133265,9.91e+37
-0.000608492,-0.000173118,0.625,0.151829,9.91e+37
-0.000593795,-0.000188684,0.700001,0.170373,9.91e+37
-0.000579005,-0.000203714,0.774999,0.188833,9.91e+37
-0.000562913,-0.000220654,0.849999,0.20715,9.91e+37
-0.000545406,-0.000238046,0.925002,0.225286,9.91e+37
-0.000527764,-0.00025528,1.000002,0.243343,9.91e+37
-0.000509278,-0.000273536,1.075,0.261301,9.91e+37
-0.000490595,-0.000291747,1.149998,0.279171,9.91e+37
-0.000470475,-0.000311396,1.224999,0.296822,9.91e+37
-0.000449918,-0.000331084,1.299997,0.314389,9.91e+37
-0.000428935,-0.000350329,1.374998,0.33185,9.91e+37
-0.00040689,-0.000371087,1.449999,0.349133,9.91e+37
-0.000384584,-0.000392063,1.525,0.366349,9.91e+37
-0.000361852,-0.000413277,1.599998,0.383402,9.91e+37
-0.000338204,-0.000434841,1.674999,0.400287,9.91e+37
-0.000314098,-0.000457042,1.749997,0.417074,9.91e+37
-0.000289752,-0.000479388,1.824998,0.433749,9.91e+37
-0.000264928,-0.000501982,1.9,0.450296,9.91e+37
-0.000239073,-0.000525785,1.975,0.466646,9.91e+37
-0.000212417,-0.000549405,2.049998,0.482849,9.91e+37
-0.000185209,-0.00057344,2.125,0.49883,9.91e+37
-0.000156825,-0.000598547,2.2,0.514706,9.91e+37
-0.000128909,-0.000622977,2.275,0.53043,9.91e+37
-0.000100473,-0.000648492,2.35,0.546064,9.91e+37
-7.1663e-05,-0.000673124,2.425,0.561589,9.91e+37
-4.3424e-05,-0.000697992,2.5,0.577102,9.91e+37
-1.426e-05,-0.000723544,2.57499,0.592348,9.91e+37
1.5353e-05,-0.000748969,2.65,0.607562,9.91e+37
4.4996e-05,-0.000774686,2.725,0.622587,9.91e+37
7.5139e-05,-0.000800756,2.8,0.637566,9.91e+37
0.000105844,-0.000827326,2.875,0.652412,9.91e+37
0.000136154,-0.00085371,2.95,0.66714,9.91e+37
0.000167431,-0.000880338,3.025,0.681625,9.91e+37
0.000199167,-0.000907227,3.1,0.695972,9.91e+37
0.000231163,-0.000934427,3.175,0.710255,9.91e+37
0.000263075,-0.000961701,3.25,0.724354,9.91e+37
0.000295529,-0.000989423,3.325,0.738367,9.91e+37
0.00032816,-0.00101685,3.4,0.752241,9.91e+37
0.000361051,-0.001044936,3.475,0.766005,9.91e+37
0.00039339,-0.001072354,3.54999,0.779641,9.91e+37
0.000427093,-0.001100644,3.625,0.793091,9.91e+37
0.000459359,-0.001127832,3.7,0.806651,9.91e+37
0.000493759,-0.001156369,3.775,0.819885,9.91e+37
0.000529283,-0.001185946,3.85,0.832714,9.91e+37
0.000564631,-0.001215232,3.925,0.84575,9.91e+37
0.000598427,-0.001243616,4.0,0.85856,9.91e+37
0.000632338,-0.001271716,4.075,0.871499,9.91e+37
0.000667956,-0.001301523,4.15,0.884064,9.91e+37
0.000703366,-0.001330379,4.225,0.896558,9.91e+37
0.0007389,-0.001359998,4.3,0.908888,9.91e+37
0.000776017,-0.001391157,4.37499,0.921157,9.91e+37
0.000811791,-0.001420629,4.45,0.933413,9.91e+37
0.000847492,-0.001450069,4.52499,0.945495,9.91e+37
0.000883683,-0.00147959,4.6,0.957567,9.91e+37
0.000919863,-0.001509572,4.675,0.969333,9.91e+37
0.000954367,-0.001537774,4.75,0.981193,9.91e+37
0.000991702,-0.001568408,4.825,0.992643,9.91e+37
0.001027362,-0.001597378,4.9,1.00425,9.91e+37
0.00106605,-0.001629177,4.975,1.015656,9.91e+37
0.001103937,-0.001661054,5.05,1.026868,9.91e+37
0.001141637,-0.001691467,5.125,1.038182,9.91e+37
0.00117789,-0.00172126,5.2,1.049317,9.91e+37
0.00121535,-0.00175181,5.275,1.060457,9.91e+37
0.001255017,-0.001784661,5.35,1.071456,9.91e+37
0.001292914,-0.00181546,5.425,1.082222,9.91e+37
0.001332904,-0.001848456,5.5,1.092744,9.91e+37
0.001370021,-0.001878705,5.575,1.10339,9.91e+37
0.001409094,-0.001910637,5.65,1.11393,9.91e+37
0.001447699,-0.001942584,5.725,1.124317,9.91e+37
0.001487429,-0.001974901,5.8,1.134748,9.91e+37
0.001524733,-0.002005494,5.875,1.145076,9.91e+37
0.001560226,-0.002034087,5.95,1.155632,9.91e+37
0.001589422,-0.002055557,5.95,1.150757,9.91e+37
